close,adjclose,volume,datetime,ticker,T_minus_1_price,T_price,change_vs_T_minus_1,topic_0_score,topic_1_score,topic_2_score,topic_3_score,topic_4_score,topic_5_score,topic_6_score,topic_7_score,topic_8_score,topic_9_score,min_sentiment,max_sentiment,avg_sentiment
2.173332929611206,2.173332929611206,15453000,20111201,TSLA,2.182667016983032,2.173332929611206,0,0.02291731178972465,0.02291697371980345,0.1375412464018045,0.27290652663091536,0.0229183994161144,0.022922898365869998,0.022924657233894148,0.02291666669619165,0.2624591347442974,0.1895761850013839,0.0,0.8588,0.4294
1.838000059127808,1.838000059127808,25582500,20111221,TSLA,1.8600000143051147,1.838000059127808,0,0.08851778974202168,0.10571385220180046,0.07238295206648988,0.191427370891638,0.024762862693544815,0.09023752062196111,0.11225818731904409,0.024762191653940932,0.06107372994082765,0.22886354286873098,-0.5574,0.8777,0.20425000000000001
1.8513330221176147,1.8513330221176147,15141000,20111222,TSLA,1.838000059127808,1.8513330221176147,1,0.0214285714602182,0.0214315548249548,0.10981709961959679,0.1880957098385921,0.17184649195400148,0.1047568891722519,0.18809568389429585,0.021428571461466202,0.15167085631581148,0.02142857145881093,0.0,0.4019,0.13396666666666665
1.9046670198440552,1.9046670198440552,11662500,20111227,TSLA,1.8600000143051147,1.9046670198440552,1,0.0200000000144836,0.2199935414207336,0.0200050620723405,0.0200000000123716,0.020000000016849,0.4199721040791697,0.0200000000131835,0.0200107267113201,0.2200000468429536,0.0200185188165944,0.3182,0.3182,0.3182
1.915333032608032,1.915333032608032,7323000,20111229,TSLA,1.9006669521331787,1.915333032608032,1,0.1866420745815098,0.1790014828122267,0.029001939446210778,0.029000669815085776,0.02900035627842922,0.07900010583742718,0.0290000000166172,0.029000513756231618,0.0290002480053755,0.3813526094508858,-0.0772,0.9081,0.47534
1.9040000438690183,1.9040000438690183,5097000,20111230,TSLA,1.915333032608032,1.9040000438690183,0,0.10645291282303947,0.06156682694250204,0.18060820866946645,0.111919033842798,0.025854034111155416,0.17040576550103184,0.15849591226015738,0.06156416521958188,0.06156682523977773,0.0615663153904893,0.0,0.8176,0.48465714285714284
1.871999979019165,1.871999979019165,13921500,20120103,TSLA,1.9040000438690183,1.871999979019165,0,0.03888888890712227,0.038891910002790867,0.03889105662627227,0.0388898184792171,0.03888986903875483,0.4277753842061438,0.0388888889054912,0.03888888890783563,0.03888888890567213,0.2611064060206995,0.4404,0.6369,0.5613666666666667
1.7940000295639038,1.7940000295639038,14794500,20120106,TSLA,1.807999968528748,1.7940000295639038,0,0.017265779269264966,0.017263220836645832,0.0172639191305068,0.05892851183497394,0.0172619253091725,0.14226560013417644,0.2749385664805503,0.017262497879972197,0.42028481570497983,0.017265163419756733,0.0,0.3182,0.10606666666666666
1.8819999694824217,1.8819999694824217,10084500,20120111,TSLA,1.841333031654358,1.8819999694824217,1,0.0200044092221434,0.0200001031430472,0.3881507815003442,0.2518281096049031,0.0200000000508851,0.0200000000402386,0.0200087226869186,0.0200056600711434,0.0200022046623304,0.2200000090180456,0.6616,0.6616,0.6616
1.8833329677581787,1.8833329677581787,10939500,20120112,TSLA,1.8819999694824217,1.8833329677581787,1,0.0263898912256564,0.06805073269185363,0.026388888900745002,0.28839718223199795,0.026389892642291565,0.06817405031847747,0.10226989555283816,0.0911598044782184,0.276389076577466,0.026390585380455,-0.1386,0.6239,0.16176666666666667
