close,adjclose,volume,datetime,ticker,T_minus_1_price,T_price,change_vs_T_minus_1,topic_0_score,topic_1_score,topic_2_score,topic_3_score,topic_4_score,topic_5_score,topic_6_score,topic_7_score,topic_8_score,topic_9_score,topic_10_score,min_sentiment,max_sentiment,avg_sentiment
2.173332929611206,2.173332929611206,15453000,20111201,TSLA,2.182667016983032,2.173332929611206,0,0.0208333333361482,0.14583194232119379,0.1458331009416963,0.020834746394421053,0.02083355531292895,0.020834422971238,0.0208337197052849,0.020834101517071,0.20833257514845618,0.18749809298736064,0.18750040936420062,0.0,0.8588,0.4294
1.838000059127808,1.838000059127808,25582500,20111221,TSLA,1.8600000143051147,1.838000059127808,0,0.0775434989068597,0.055844884328183964,0.15167354353273835,0.022512074202647333,0.15346322530840287,0.022511511748477684,0.046320498202227334,0.0558447647039751,0.05584408986147834,0.33593103927431467,0.02251086993069422,-0.5574,0.8777,0.20425000000000001
1.8513330221176147,1.8513330221176147,15141000,20111222,TSLA,1.838000059127808,1.8513330221176147,1,0.019480519484190332,0.10281277012916969,0.019481197357158832,0.01948051948321097,0.2895535484007697,0.019480789097991533,0.10281408955883918,0.019480519483988067,0.0194805194831305,0.019480519483330665,0.3684550080382199,0.0,0.4019,0.13396666666666665
1.9046670198440552,1.9046670198440552,11662500,20111227,TSLA,1.8600000143051147,1.9046670198440552,1,0.0181818181831978,0.2181784664238839,0.0181827287271392,0.0181818181828296,0.0181818181831658,0.0181818181830942,0.0181818181829961,0.0181851155148754,0.4181818932644379,0.2181808869715662,0.0181818181828135,0.3182,0.3182,0.3182
1.915333032608032,1.915333032608032,7323000,20111229,TSLA,1.9006669521331787,1.915333032608032,1,0.15636264935044158,0.2163635500402624,0.026365540864430943,0.07636374480690408,0.026363671851749683,0.07636371227174732,0.026364019593567538,0.02636385467860062,0.02636363636647468,0.31636189025493044,0.026363729920890245,-0.0772,0.9081,0.47534
1.9040000438690183,1.9040000438690183,5097000,20111230,TSLA,1.915333032608032,1.9040000438690183,0,0.15082097001188413,0.05299123502130127,0.1920625094782285,0.07112033725100625,0.15220581694780708,0.13529085169834765,0.023500933838987444,0.05921461779045486,0.04436384095998154,0.09492844540917815,0.023500441592822514,0.0,0.8176,0.48465714285714284
1.871999979019165,1.871999979019165,13921500,20120103,TSLA,1.9040000438690183,1.871999979019165,0,0.035353535359474365,0.035354737525446635,0.03535454267648137,0.035353535357889834,0.0353535353593362,0.31312994547517653,0.035353535358606664,0.14646338533632383,0.2575742769726036,0.03535464833996913,0.0353543222386913,0.4404,0.6369,0.5613666666666667
1.7940000295639038,1.7940000295639038,14794500,20120106,TSLA,1.807999968528748,1.7940000295639038,0,0.015692946235280066,0.015692771764179336,0.015693577414602398,0.10284970382318136,0.015693189218244932,0.015693605337455164,0.20415797836948646,0.015692800322228168,0.17853421862911054,0.015693218589676868,0.4046059902965542,0.0,0.3182,0.10606666666666666
1.8819999694824217,1.8819999694824217,10084500,20120111,TSLA,1.841333031654358,1.8819999694824217,1,0.0181841607429189,0.0181818181860145,0.2181792940710184,0.0181827900175948,0.0181857251981511,0.0181824619060855,0.0181825741662591,0.0181825724719082,0.0181818181856086,0.6181718123178277,0.0181849727366129,0.6616,0.6616,0.6616
1.8833329677581787,1.8833329677581787,10939500,20120112,TSLA,1.8819999694824217,1.8833329677581787,1,0.0239904006999859,0.0239901844393937,0.02399047901174813,0.2899905182959423,0.02399007025910953,0.14687684558785255,0.023990162238726565,0.02399072492988717,0.023989898991527033,0.023990029686527803,0.3712106858592988,-0.1386,0.6239,0.16176666666666667
1.519333004951477,1.519333004951477,82506000,20120113,TSLA,1.8833329677581787,1.519333004951477,0,0.0082647650012827,0.0082644745115962,0.0082649366797845,0.008265172157294,0.0991733740618779,0.0082644628115776,0.0082647548734084,0.0082646583466362,0.3487011205493655,0.0082645211928683,0.4860077598143082,0.0,0.0,0.0
1.773332953453064,1.773332953453064,69774000,20120117,TSLA,1.519333004951477,1.773332953453064,1,0.13484787708892873,0.19040211841426136,0.09392619370175946,0.023738887069145165,0.023737373741561197,0.15354817364676762,0.13484881570010343,0.023738587899711668,0.023737766170444766,0.17373606915424442,0.023738137413071736,-0.1154,0.0875,-0.03503333333333334
1.7846670150756836,1.7846670150756836,8919000,20120123,TSLA,1.773332953453064,1.7846670150756836,1,0.0227272727371466,0.2727274866997166,0.0227272727346715,0.2727267674870249,0.0227272727369189,0.2727273300430786,0.0227272727357031,0.0227272727366038,0.0227272727342949,0.0227272727348338,0.0227275066200069,0.6361,0.6361,0.6361
1.8279999494552608,1.8279999494552608,12870000,20120124,TSLA,1.7846670150756836,1.8279999494552608,1,0.015692825860833298,0.015692640694756604,0.05735903874191119,0.015693849381051898,0.015692640695267834,0.21647170870295826,0.06331163588350894,0.06331105842785277,0.11693903050192155,0.015693224505960668,0.40414234660397647,-0.2732,0.6369,0.04580000000000001
1.95533299446106,1.95533299446106,11226000,20120127,TSLA,1.929332971572876,1.95533299446106,1,0.0181818181832365,0.018181818182935,0.018182653490938,0.0181833084814165,0.018181818183204,0.818176585761553,0.0181818181830292,0.0181818181831586,0.018183821913687,0.0181822944795516,0.01818224495729,0.5994,0.5994,0.5994
1.937999963760376,1.937999963760376,14346000,20120131,TSLA,1.9713330268859863,1.937999963760376,0,0.0454545454612308,0.0454545454598077,0.0454545454595546,0.0454545454594454,0.0454545454610824,0.5454545453994288,0.0454545454602554,0.0454545454608609,0.0454545454593007,0.0454545454596656,0.045454545459367,0.1531,0.1531,0.1531
1.972000002861023,1.972000002861023,7848000,20120201,TSLA,1.937999963760376,1.972000002861023,1,0.014772761870896399,0.11477270911891055,0.0147730000712522,0.01477272727637015,0.07727289311161495,0.11477253765202734,0.01477352481586405,0.01477276610788715,0.014773493173523,0.21477469217403636,0.3897688946276174,0.1779,0.3818,0.27985
