topic,top_terms
0,"nasdaq, company, omx, energy, m, market, exchange, oil, gas, airline"
1,"city, police, family, woman, home, man, case, community, car, news"
2,"percent, market, stock, price, rate, economy, investor, month, index, report"
3,"president, it, that, we, obama, i, video, clip, mr, m"
4,"company, statement, market, share, business, stock, product, quarter, service, customer"
5,"china, country, government, president, united, tariff, trade, states, russia, war"
6,"brand, accord, product, skin, expert, food, amazon, store, nbc, shop"
7,"job, health, state, worker, business, percent, program, government, accord, money"
8,"trump, president, biden, house, election, campaign, state, voter, vote, donald"
