,close,adjclose,volume,datetime,ticker,T_minus_1_price,T_price,change_vs_T_minus_1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,min_sentiment,max_sentiment,avg_sentiment
0,1.5926669836044312,1.5926669836044312,281494500,20100629,TSLA,,1.5926669836044312,0,0.3780679655,0.00052778145,0.02634924399,0.0005279106097,0.0005282654554,0.000528044615,0.0005279215083,0.5929428668,0.9842,0.9842,0.9842
1,1.5886670351028442,1.5886670351028442,257806500,20100630,TSLA,1.5926669836044312,1.5886670351028442,0,0.07253408029,0.01840115581,5.99e-05,0.7074911555,5.99e-05,5.99e-05,0.2013340563,5.99e-05,,,
2,1.4639999866485596,1.4639999866485596,123282000,20100701,TSLA,1.5886670351028442,1.4639999866485596,0,0.0008126711198,0.06830466916,0.8763958982,0.0008130966946,0.05123536723,0.000812620886,0.0008132599337,0.0008124167816,0.9729,0.9729,0.9729
3,1.2799999713897705,1.2799999713897705,77097000,20100702,TSLA,1.4639999866485596,1.2799999713897705,0,0.0008176021672,0.0008176040463,0.9942749327,0.0008178771962,0.0008181108654,0.000818057322,0.0008177831469,0.0008180325217,0.9786,0.9786,0.9786
4,1.0740000009536743,1.0740000009536743,103003500,20100706,TSLA,1.2799999713897705,1.0740000009536743,0,0.08054795144,5.35e-05,5.35e-05,0.5783459978,5.36e-05,5.35e-05,0.3408383855,5.35e-05,,,
5,1.1640000343322754,1.1640000343322754,115671000,20100708,TSLA,1.053333044052124,1.1640000343322754,1,0.23283312635,0.0005548682136,0.21151096605,0.00055495635065,0.2413089039024,0.039155654172900005,0.01458612350595,0.25949540144505,0.9938,0.9949,0.9943500000000001
6,1.159999966621399,1.159999966621399,60759000,20100709,TSLA,1.1640000343322754,1.159999966621399,0,0.0044500998257999995,0.0044452344985,0.13121987203000002,0.1645330654664,0.0044477706518,0.00444458340275,0.004443986163,0.6820153879499999,-0.6734,0.9896,0.15810000000000002
7,1.3259999752044678,1.3259999752044678,56097000,20100715,TSLA,1.3226670026779177,1.3259999752044678,1,0.14005976831435,0.1386462405036,0.2349226384743,0.0005013566117,0.0838499176324,0.00050152860195,0.18971732936000002,0.211801220438,0.9901,0.9984,0.99425
8,1.3760000467300415,1.3760000467300415,39319500,20100716,TSLA,1.3259999752044678,1.3760000467300415,1,0.016168842628,0.0006163699779333333,0.0006161091092666667,0.03742152824733334,0.11903101950286667,0.007484708567300001,0.005972421101299999,0.8126890008333333,-0.9984,0.9997,0.26866666666666666
9,1.4606670141220093,1.4606670141220093,37297500,20100719,TSLA,1.3760000467300415,1.4606670141220093,1,0.0005818770544,0.000582000849,0.8586438844,0.0005818776801,0.1378632427,0.0005833587427,0.0005818484105,0.0005819101844,0.9787,0.9787,0.9787
