topic,top_terms
0,"company, business, market, percent, stock, job, investor, price, industry, month"
1,"trump, president, government, administration, house, musk, kristen, welker, donald, department"
2,"space, nasa, spacex, station, rocket, launch, flight, mission, company, dragon"
3,"video, m, i, that, plane, today, we, president, clip, case"
4,"space, mars, moon, earth, science, system, technology, mission, planet, project"
5,"musk, twitter, company, x, platform, medium, account, user, post, news"
6,"trump, election, state, president, campaign, voter, party, democrats, biden, harris"
7,"tesla, car, vehicle, model, company, battery, driver, automaker, technology, market"
