topic,term,weight
0,tesla,4.349104325144604
0,company,0.2597026164015696
0,autopilot,0.23550014077674117
0,tesla team,0.23097847944009628
0,tesla model,0.2188661445844238
0,software,0.2040428373405947
0,owner,0.18740956700652464
0,tesla owner,0.17675023083528535
0,tesla autopilot,0.1698735171848135
0,tesla car,0.1598936921038318
0,supercharger,0.14856515693460312
0,vehicle,0.14838706094777823
1,medium,2.233163962437595
1,legacy,1.594232203509993
1,legacy medium,1.5336282525990028
1,propaganda,0.2372747834882657
1,lie,0.1986929540190042
1,machine,0.17215863699624465
1,platform,0.13182878572398934
1,medium propaganda,0.12465466241928862
1,truth,0.12460170409092367
1,news,0.12351302129792929
1,medium lie,0.117255900986995
1,link,0.1079697278543354
2,launch,1.317390653561948
2,rocket,1.2299199488021417
2,falcon,1.032225163574038
2,starship,1.0051446031640086
2,flight,0.7031705627028417
2,engine,0.5515662225042813
2,starlink,0.5277114985423887
2,space,0.5197743323614537
2,spacex,0.5004929862437993
2,dragon,0.4770558219000294
2,earth,0.4559429847310511
2,mar,0.4458260621321271
3,car,2.589275030432337
3,model,0.9502015471911114
3,production,0.35904981023822297
3,company,0.2596838637398112
3,tesla car,0.18690585244976263
3,month,0.18031135582070232
3,week,0.18015043988233637
3,cost,0.17395560894848572
3,part,0.15811710178817082
3,car company,0.15433078388890845
3,software,0.1465403625020718
3,model car,0.12229774626119738
4,twitter,2.120651130357828
4,government,0.9612079337981273
4,world,0.5563130971738732
4,account,0.4452850987460621
4,money,0.36428820239556237
4,company,0.30199224833394295
4,speech,0.29460271346422345
4,country,0.2764286989301835
4,law,0.27391014881672315
4,platform,0.27167875594089297
4,america,0.26623368046590856
4,party,0.2510658720075174
5,day,2.9455048726167306
5,point,0.1505836904224137
5,hour,0.125573694158064
5,post,0.10631693148896298
5,night,0.0970135452397143
5,person,0.09348741262036542
5,news,0.08955522155659072
5,house,0.08199121273232568
5,end,0.07907696517252105
5,end day,0.07331848352444878
5,system,0.06784085270463644
5,100,0.06554610116233582
6,way,2.7083878426077344
6,future,0.14701581013468482
6,civilization,0.1251277403799319
6,company,0.11723506341223877
6,kid,0.11639463134784524
6,money,0.11423411118375201
6,platform,0.10664415242158029
6,game,0.10476898010859573
6,earth,0.09058673598975288
6,level,0.08591545236043564
6,need,0.07903825448288022
6,tunnel,0.0745059690552314
7,team,1.5843351668222312
7,lot,1.4451046093189597
7,work,1.1806402807520833
7,spacex,0.35482412007783565
7,week,0.26206921030898006
7,tesla team,0.18330661734285636
7,spacex team,0.1651782696535925
7,congrats,0.15083323530994108
7,game,0.14399138328395533
7,engineering,0.14173926572995124
7,congratulation,0.1406924861525864
7,lot work,0.12221881631943486
