,Unnamed: 0,timestamp,open,high,low,close,adjclose,volume,datetime,year,month,day,ticker,table_name,day_order,T_minus_1_price,T_minus_3_price,T_minus_5_price,T_minus_7_price,T_price,change_vs_T_minus_1,change_vs_T_minus_3,change_vs_T_minus_5,change_vs_T_minus_7
0,26979,2010-06-29 13:30:00,1.2666670083999634,1.6666669845581057,1.1693329811096191,1.5926669836044312,1.5926669836044312,281494500,20100629,2010,6,29,TSLA,us_stock_price_yahoo_finance,1,,,,,1.5926669836044312,0,0,0,0
1,26980,2010-06-30 13:30:00,1.7193330526351929,2.0280001163482666,1.553333044052124,1.5886670351028442,1.5886670351028442,257806500,20100630,2010,6,30,TSLA,us_stock_price_yahoo_finance,2,1.5926669836044312,,,,1.5886670351028442,0,0,0,0
2,26981,2010-07-01 13:30:00,1.6666669845581057,1.7280000448226929,1.3513330221176147,1.4639999866485596,1.4639999866485596,123282000,20100701,2010,7,1,TSLA,us_stock_price_yahoo_finance,3,1.5886670351028442,,,,1.4639999866485596,0,0,0,0
3,26982,2010-07-02 13:30:00,1.5333329439163208,1.5399999618530271,1.24733304977417,1.2799999713897705,1.2799999713897705,77097000,20100702,2010,7,2,TSLA,us_stock_price_yahoo_finance,4,1.4639999866485596,1.5926669836044312,,,1.2799999713897705,0,0,0,0
4,26983,2010-07-06 13:30:00,1.3333330154418943,1.3333330154418943,1.0553330183029177,1.0740000009536743,1.0740000009536743,103003500,20100706,2010,7,6,TSLA,us_stock_price_yahoo_finance,5,1.2799999713897705,1.5886670351028442,,,1.0740000009536743,0,0,0,0
5,26984,2010-07-07 13:30:00,1.0933330059051514,1.108667016029358,0.9986670017242432,1.053333044052124,1.053333044052124,103825500,20100707,2010,7,7,TSLA,us_stock_price_yahoo_finance,6,1.0740000009536743,1.4639999866485596,1.5926669836044312,,1.053333044052124,0,0,0,0
6,26985,2010-07-08 13:30:00,1.0759999752044678,1.1679999828338623,1.037999987602234,1.1640000343322754,1.1640000343322754,115671000,20100708,2010,7,8,TSLA,us_stock_price_yahoo_finance,7,1.053333044052124,1.2799999713897705,1.5886670351028442,,1.1640000343322754,1,0,0,0
7,26986,2010-07-09 13:30:00,1.1720000505447388,1.1933330297470093,1.1033329963684082,1.159999966621399,1.159999966621399,60759000,20100709,2010,7,9,TSLA,us_stock_price_yahoo_finance,8,1.1640000343322754,1.0740000009536743,1.4639999866485596,1.5926669836044312,1.159999966621399,0,1,0,0
8,26987,2010-07-12 13:30:00,1.196666955947876,1.2046669721603394,1.1333329677581787,1.136667013168335,1.136667013168335,33037500,20100712,2010,7,12,TSLA,us_stock_price_yahoo_finance,9,1.159999966621399,1.053333044052124,1.2799999713897705,1.5886670351028442,1.136667013168335,0,1,0,0
9,26988,2010-07-13 13:30:00,1.1593329906463623,1.2426669597625732,1.126667022705078,1.2093329429626465,1.2093329429626465,40201500,20100713,2010,7,13,TSLA,us_stock_price_yahoo_finance,10,1.136667013168335,1.1640000343322754,1.0740000009536743,1.4639999866485596,1.2093329429626465,1,1,1,0
10,26989,2010-07-14 13:30:00,1.1959999799728394,1.3433330059051514,1.184000015258789,1.3226670026779177,1.3226670026779177,62928000,20100714,2010,7,14,TSLA,us_stock_price_yahoo_finance,11,1.2093329429626465,1.159999966621399,1.053333044052124,1.2799999713897705,1.3226670026779177,1,1,1,1
11,26990,2010-07-15 13:30:00,1.329332947731018,1.4333330392837524,1.2666670083999634,1.3259999752044678,1.3259999752044678,56097000,20100715,2010,7,15,TSLA,us_stock_price_yahoo_finance,12,1.3226670026779177,1.136667013168335,1.1640000343322754,1.0740000009536743,1.3259999752044678,1,1,1,1
12,26991,2010-07-16 13:30:00,1.3799999952316284,1.4199999570846558,1.3366669416427612,1.3760000467300415,1.3760000467300415,39319500,20100716,2010,7,16,TSLA,us_stock_price_yahoo_finance,13,1.3259999752044678,1.2093329429626465,1.159999966621399,1.053333044052124,1.3760000467300415,1,1,1,1
13,26992,2010-07-19 13:30:00,1.4246670007705688,1.4833329916000366,1.3946670293807983,1.4606670141220093,1.4606670141220093,37297500,20100719,2010,7,19,TSLA,us_stock_price_yahoo_finance,14,1.3760000467300415,1.3226670026779177,1.136667013168335,1.1640000343322754,1.4606670141220093,1,1,1,1
