close,adjclose,volume,datetime,ticker,T_minus_1_price,T_price,change_vs_T_minus_1,topic_0_score,topic_1_score,topic_2_score,topic_3_score,topic_4_score,topic_5_score,topic_6_score,topic_7_score,min_sentiment,max_sentiment,avg_sentiment
2.173332929611206,2.173332929611206,15453000,20111201,TSLA,2.182667016983032,2.173332929611206,0,0.4465049415022184,0.028648710871105848,0.10780136529095426,0.1774658612455013,0.15360009786864962,0.028682253660525098,0.0286509353276342,0.02864583423341105,0.0,0.8588,0.4294
1.838000059127808,1.838000059127808,25582500,20111221,TSLA,1.8600000143051147,1.838000059127808,0,0.1975736671734316,0.2060336418073543,0.1498226568250691,0.10595920727664998,0.13941180515828042,0.07262560458881685,0.09760485608463286,0.030968561085764634,-0.5574,0.8777,0.20425000000000001
1.8513330221176147,1.8513330221176147,15141000,20111222,TSLA,1.838000059127808,1.8513330221176147,1,0.21167373534423337,0.11011022345409471,0.13209347464084623,0.1934261542985427,0.10567127762213994,0.026805360137530664,0.19343405898910945,0.026785715513502662,0.0,0.4019,0.13396666666666665
1.9046670198440552,1.9046670198440552,11662500,20111227,TSLA,1.8600000143051147,1.9046670198440552,1,0.0250158565135248,0.2249999205557021,0.0250126798760167,0.0250000005129781,0.17387324827989,0.2761271417788113,0.0250000005533134,0.2249711519297634,0.3182,0.3182,0.3182
1.915333032608032,1.915333032608032,7323000,20111229,TSLA,1.9006669521331787,1.915333032608032,1,0.08625628311831576,0.4802002014814965,0.15224910095926558,0.036278274681498815,0.03625000139189894,0.08625434909481991,0.03625573344529464,0.0862560558274096,-0.0772,0.9081,0.47534
1.9040000438690183,1.9040000438690183,5097000,20111230,TSLA,1.915333032608032,1.9040000438690183,0,0.2518505258881163,0.03233193220299656,0.15394401253627374,0.11566228853207271,0.11561893198167214,0.16497909142749598,0.09354109852033012,0.07207211891104215,0.0,0.8176,0.48465714285714284
1.871999979019165,1.871999979019165,13921500,20120103,TSLA,1.9040000438690183,1.871999979019165,0,0.0487050914230977,0.21519661096837647,0.04861725297466037,0.0486414416506738,0.04863698716261273,0.4929426553143621,0.04861162037906389,0.04864834012715243,0.4404,0.6369,0.5613666666666667
1.7940000295639038,1.7940000295639038,14794500,20120106,TSLA,1.807999968528748,1.7940000295639038,0,0.30305264857472086,0.0215936925779502,0.021584024991738865,0.06324250584476084,0.10489059779398396,0.2717973796114026,0.1922485635732165,0.021590587032225935,0.0,0.3182,0.10606666666666666
1.8819999694824217,1.8819999694824217,10084500,20120111,TSLA,1.841333031654358,1.8819999694824217,1,0.0250089246738315,0.4680980995769437,0.381763101005617,0.0250415764922758,0.0250204118301709,0.0250167400636236,0.0250161833357808,0.0250349630217562,0.6616,0.6616,0.6616
1.8833329677581787,1.8833329677581787,10939500,20120112,TSLA,1.8819999694824217,1.8833329677581787,1,0.3385236318860965,0.03299952091137227,0.032987659181983965,0.4218611226907967,0.07464937237115866,0.0329952352273319,0.03299105210751667,0.032992405623743,-0.1386,0.6239,0.16176666666666667
1.519333004951477,1.519333004951477,82506000,20120113,TSLA,1.8833329677581787,1.519333004951477,0,0.5472737322411696,0.0113639705467734,0.257655052831323,0.0113712706638711,0.0113988311566344,0.0113650153904451,0.0113681066196471,0.1382040205501361,0.0,0.0,0.0
1.773332953453064,1.773332953453064,69774000,20120117,TSLA,1.519333004951477,1.773332953453064,1,0.03267101083361403,0.14376055802350554,0.0995992967748071,0.03265834323101053,0.0326520520998756,0.16132475441711572,0.1437856831473733,0.3535483014726979,-0.1154,0.0875,-0.03503333333333334
1.7846670150756836,1.7846670150756836,8919000,20120123,TSLA,1.773332953453064,1.7846670150756836,1,0.0312773355747833,0.5120720436788173,0.0312500054601569,0.3002461151757719,0.0312500061730117,0.0312561870591763,0.0313920174529785,0.0312562894253038,0.6361,0.6361,0.6361
1.8279999494552608,1.8279999494552608,12870000,20120124,TSLA,1.7846670150756836,1.8279999494552608,1,0.1952561927930745,0.0215773824357864,0.0826323800144567,0.06323697109129917,0.021583656681279567,0.49730444064988194,0.0215950972765017,0.09681387905771964,-0.2732,0.6369,0.04580000000000001
1.95533299446106,1.95533299446106,11226000,20120127,TSLA,1.929332971572876,1.95533299446106,1,0.0250000009503081,0.0250000007362444,0.0250452409618996,0.473095797397502,0.0250000010093537,0.3768589572950636,0.025000000860519,0.0250000007891092,0.5994,0.5994,0.5994
1.937999963760376,1.937999963760376,14346000,20120131,TSLA,1.9713330268859863,1.937999963760376,0,0.0625000029921978,0.0625000023007121,0.062500002785432,0.0625000024931106,0.0625000031737679,0.562499981070004,0.062500002716215,0.0625000024685604,0.1531,0.1531,0.1531
1.972000002861023,1.972000002861023,7848000,20120201,TSLA,1.937999963760376,1.972000002861023,1,0.0203125012374301,0.20146164318100152,0.14531274479295206,0.020314681180602152,0.20776766344768485,0.2391703316799092,0.0203423096851365,0.14531812479528314,0.1779,0.3818,0.27985
2.016666889190674,2.016666889190674,12085500,20120202,TSLA,1.972000002861023,2.016666889190674,1,0.2812516696484874,0.0312500005164232,0.0312500006286051,0.2812481706548947,0.2811874299692015,0.0312867563551415,0.0312500006036984,0.0312759716235478,0.4576,0.4576,0.4576
2.119999885559082,2.119999885559082,9781500,20120206,TSLA,2.076667070388794,2.119999885559082,1,0.08594883000984879,0.0234415659538035,0.0234381225184475,0.02343750139559265,0.19372875182242774,0.2281568554784201,0.39835309277908293,0.023495280042376353,0.0,0.25,0.125
2.1066670417785645,2.1066670417785645,15324000,20120207,TSLA,2.119999885559082,2.1066670417785645,0,0.8249988701805252,0.0250000001832668,0.0250000002228052,0.025000000229907,0.0250000002518768,0.0250000002085646,0.0250011285259078,0.0250000001971461,0.6096,0.6096,0.6096
2.128667116165161,2.128667116165161,9355500,20120208,TSLA,2.1066670417785645,2.128667116165161,1,0.10623994346820276,0.2395872627363064,0.20624999519449294,0.12291641156807766,0.20624358934225798,0.03958484572708396,0.0395943127586474,0.039583639204930604,-0.5938,0.6893,0.2517333333333333
2.171999931335449,2.171999931335449,19156500,20120209,TSLA,2.128667116165161,2.171999931335449,1,0.37165739027409944,0.0260436294392325,0.22204025431585955,0.026052677609769398,0.02605909366769655,0.27605788832794476,0.02604368767717425,0.0260453786882232,0.0,0.5106,0.2553
2.0733330249786377,2.0733330249786377,28113000,20120210,TSLA,2.171999931335449,2.0733330249786377,0,0.3012373838873169,0.02050014221607827,0.09320441460455843,0.16727732990849817,0.020492365864119465,0.08940447140225939,0.20626336417816563,0.1016205279390033,-0.4574,0.7189,0.08716666666666667
2.211333036422729,2.211333036422729,27162000,20120214,TSLA,2.0993330478668213,2.211333036422729,1,0.2812512384280649,0.0312500004029689,0.2812512570955141,0.0312500004365163,0.0312500005519445,0.0312634283987848,0.28123209811651,0.0312519765696964,0.4215,0.4215,0.4215
2.3313329219818115,2.3313329219818115,20650500,20120217,TSLA,2.2786669731140137,2.3313329219818115,1,0.020836060451433,0.0208333336026113,0.6874875078373819,0.1874991834270685,0.0208366479575891,0.0208333336405979,0.0208375047111712,0.0208364283721469,0.2023,0.2023,0.2023
2.299999952316284,2.299999952316284,17037000,20120221,TSLA,2.3313329219818115,2.299999952316284,0,0.0312500037208206,0.031286579794846,0.2812436478476719,0.0312500031186512,0.0312500039629043,0.2812573211548632,0.0312500033637215,0.2812124370365211,-0.4926,-0.4926,-0.4926
2.253999948501587,2.253999948501587,9183000,20120228,TSLA,2.2413330078125,2.253999948501587,1,0.0138964670611621,0.013888889341831,0.0138894381938781,0.0138888893810495,0.0139366846004687,0.9026882265692096,0.0138888894197887,0.0139225154326119,0.0,0.0,0.0
2.227333068847656,2.227333068847656,8035500,20120229,TSLA,2.253999948501587,2.227333068847656,0,0.0156338284787032,0.1578261513828444,0.3056492910652095,0.1785822218473868,0.0156562657496845,0.2953487935160926,0.0156279023199342,0.0156755456401445,0.0,0.0,0.0
2.2693328857421875,2.2693328857421875,8250000,20120302,TSLA,2.2939999103546143,2.2693328857421875,0,0.0250000017621963,0.0250000013617816,0.4250005463412616,0.0250000014773923,0.0250153099885332,0.4249841360155444,0.0250000015921071,0.0250000014611833,0.0,0.0,0.0
2.2079999446868896,2.2079999446868896,5473500,20120307,TSLA,2.2073330879211426,2.2079999446868896,1,0.4037918816516438,0.031250000213622,0.0313401761584336,0.4085794081672425,0.0312666034730596,0.031250000243502,0.0312664021660249,0.0312555279264713,0.0,0.0,0.0
2.4006669521331787,2.4006669521331787,29449500,20120312,TSLA,2.315999984741211,2.4006669521331787,1,0.0156311638981686,0.1406166000464138,0.0156258661219431,0.7656078290484466,0.0156250009194112,0.0156397707370268,0.0156284622271788,0.0156253070014108,0.126,0.126,0.126
2.4059998989105225,2.4059998989105225,15024000,20120313,TSLA,2.4006669521331787,2.4059998989105225,1,0.062500002532663,0.5624999836823478,0.0625000023668869,0.062500002122782,0.0625000026804528,0.0625000022302064,0.062500002285556,0.0625000020991049,0.6956,0.6956,0.6956
2.352667093276977,2.352667093276977,12772500,20120314,TSLA,2.4059998989105225,2.352667093276977,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0
2.3333330154418945,2.3333330154418945,8574000,20120315,TSLA,2.352667093276977,2.3333330154418945,0,0.6254926566286387,0.0208594348455792,0.2494242426372932,0.0208586543095643,0.0208333341821593,0.0208371183950621,0.0208333340553222,0.0208612249463804,0.6597,0.6597,0.6597
2.330667018890381,2.330667018890381,8505000,20120320,TSLA,2.3320000171661377,2.330667018890381,0,0.0312500002596738,0.2812302163325469,0.0312500002429981,0.0312500002181118,0.0312500002756555,0.5312509660010128,0.0312688164546559,0.031250000215345,0.8439,0.8439,0.8439
2.293333053588867,2.293333053588867,7836000,20120322,TSLA,2.343333005905152,2.293333053588867,0,0.3750042628362087,0.041666668477429,0.041666668862348,0.0416666686386006,0.3749957250494416,0.0416666687353541,0.0416666687850743,0.0416666686155435,0.6124,0.6124,0.6124
2.523333072662353,2.523333072662353,14325000,20120328,TSLA,2.529333114624023,2.523333072662353,0,0.3615075776227102,0.0125000002440297,0.4429338716213616,0.0125152233454091,0.0125000003370396,0.0125027398090686,0.1330357876806871,0.0125047993396938,0.0,0.0,0.0
2.5339999198913574,2.5339999198913574,16471500,20120403,TSLA,2.438667058944702,2.5339999198913574,1,0.2492655893099901,0.12810828025130924,0.1281543532786691,0.02813619744067105,0.1531051044512448,0.02813123969047815,0.25696789099223505,0.0281313445854021,0.0,0.1027,0.05135
2.3333330154418945,2.3333330154418945,67227000,20120404,TSLA,2.5339999198913574,2.3333330154418945,0,0.2812491945942708,0.031250000528956,0.031250000645092,0.0312682109441743,0.5310910936067033,0.0313721841791678,0.0312693149329995,0.031250000568636,0.7506,0.7506,0.7506
